ID,Title,Difficulty,Topics,Link,Acceptance Rate (%),Premium Only,Category,Likes,Dislikes,Example Test Cases,Similar Questions,pattern
1,Two Sum,Easy,"Array, Hash Table",https://leetcode.com/problems/two-sum/,56.12,FALSE,Algorithms,63512,2313,"[{""input"": ""[2,7,11,15], target=9"", ""expected"": ""[0,1]""}, {""input"": ""[3,3], target=6"", ""expected"": ""[0,1]""}, {""input"": ""[998,999,1000,1001], target=1997"", ""expected"": ""[0,1]""}, {""input"": ""[-1,-2,-3,-4,-5], target=-8"", ""expected"": ""[2,4]""}]","[{""title"": ""3Sum"", ""titleSlug"": ""3sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""4Sum"", ""titleSlug"": ""4sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Two Sum II - Input Array Is Sorted"", ""titleSlug"": ""two-sum-ii-input-array-is-sorted"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Two Sum III - Data structure design"", ""titleSlug"": ""two-sum-iii-data-structure-design"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Subarray Sum Equals K"", ""titleSlug"": ""subarray-sum-equals-k"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Two Sum IV - Input is a BST"", ""titleSlug"": ""two-sum-iv-input-is-a-bst"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Two Sum Less Than K"", ""titleSlug"": ""two-sum-less-than-k"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Max Number of K-Sum Pairs"", ""titleSlug"": ""max-number-of-k-sum-pairs"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Count Good Meals"", ""titleSlug"": ""count-good-meals"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Count Number of Pairs With Absolute Difference K"", ""titleSlug"": ""count-number-of-pairs-with-absolute-difference-k"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Number of Pairs of Strings With Concatenation Equal to Target"", ""titleSlug"": ""number-of-pairs-of-strings-with-concatenation-equal-to-target"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find All K-Distant Indices in an Array"", ""titleSlug"": ""find-all-k-distant-indices-in-an-array"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""First Letter to Appear Twice"", ""titleSlug"": ""first-letter-to-appear-twice"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Number of Excellent Pairs"", ""titleSlug"": ""number-of-excellent-pairs"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Number of Arithmetic Triplets"", ""titleSlug"": ""number-of-arithmetic-triplets"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Node With Highest Edge Score"", ""titleSlug"": ""node-with-highest-edge-score"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Check Distances Between Same Letters"", ""titleSlug"": ""check-distances-between-same-letters"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find Subarrays With Equal Sum"", ""titleSlug"": ""find-subarrays-with-equal-sum"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Largest Positive Integer That Exists With Its Negative"", ""titleSlug"": ""largest-positive-integer-that-exists-with-its-negative"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Number of Distinct Averages"", ""titleSlug"": ""number-of-distinct-averages"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Count Pairs Whose Sum is Less than Target"", ""titleSlug"": ""count-pairs-whose-sum-is-less-than-target"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]","[""hash_map_lookup""]"
121,Best Time to Buy and Sell Stock,Easy,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,55.56,FALSE,Algorithms,33893,1320,"[{""input"": ""[7,1,5,3,6,4]"", ""expected"": ""5""}, {""input"": ""[1]"", ""expected"": ""0""}, {""input"": ""[1,2,3,4,5,6,7,8,9,10]"", ""expected"": ""9""}, {""input"": ""[7,6,5,4,3,2,1]"", ""expected"": ""0""}]","[{""title"": ""Maximum Subarray"", ""titleSlug"": ""maximum-subarray"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Best Time to Buy and Sell Stock II"", ""titleSlug"": ""best-time-to-buy-and-sell-stock-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Best Time to Buy and Sell Stock III"", ""titleSlug"": ""best-time-to-buy-and-sell-stock-iii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Best Time to Buy and Sell Stock IV"", ""titleSlug"": ""best-time-to-buy-and-sell-stock-iv"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Best Time to Buy and Sell Stock with Cooldown"", ""titleSlug"": ""best-time-to-buy-and-sell-stock-with-cooldown"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Sum of Beauty in the Array"", ""titleSlug"": ""sum-of-beauty-in-the-array"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Maximum Difference Between Increasing Elements"", ""titleSlug"": ""maximum-difference-between-increasing-elements"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Maximum Profit From Trading Stocks"", ""titleSlug"": ""maximum-profit-from-trading-stocks"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Best Time to Buy and Sell Stock V"", ""titleSlug"": ""best-time-to-buy-and-sell-stock-v"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]","[""greedy_local""]"
20,Valid Parentheses,Easy,"String, Stack",https://leetcode.com/problems/valid-parentheses/,42.66,FALSE,Algorithms,26343,1924,"[{""input"": ""\""()[]{}\"""", ""expected"": ""true""}, {""input"": ""\""\"""", ""expected"": ""true""}, {""input"": ""\""(((((((((()))))))))\"""", ""expected"": ""true""}, {""input"": ""\""([)]\"""", ""expected"": ""false""}]","[{""title"": ""Generate Parentheses"", ""titleSlug"": ""generate-parentheses"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Longest Valid Parentheses"", ""titleSlug"": ""longest-valid-parentheses"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Remove Invalid Parentheses"", ""titleSlug"": ""remove-invalid-parentheses"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Check If Word Is Valid After Substitutions"", ""titleSlug"": ""check-if-word-is-valid-after-substitutions"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Check if a Parentheses String Can Be Valid"", ""titleSlug"": ""check-if-a-parentheses-string-can-be-valid"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Move Pieces to Obtain a String"", ""titleSlug"": ""move-pieces-to-obtain-a-string"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]","[""monotonic_stack""]"
21,Merge Two Sorted Lists,Easy,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists/,67.14,FALSE,Algorithms,23786,2332,"[{""input"": ""l1=[1,2,4], l2=[1,3,4]"", ""expected"": ""[1,1,2,3,4,4]""}, {""input"": ""l1=[], l2=[]"", ""expected"": ""[]""}, {""input"": ""l1=[1,3,5,7,9], l2=[2,4,6,8,10]"", ""expected"": ""[1,2,3,4,5,6,7,8,9,10]""}, {""input"": ""l1=[5], l2=[1,2,3,4]"", ""expected"": ""[1,2,3,4,5]""}]","[{""title"": ""Merge k Sorted Lists"", ""titleSlug"": ""merge-k-sorted-lists"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Merge Sorted Array"", ""titleSlug"": ""merge-sorted-array"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Sort List"", ""titleSlug"": ""sort-list"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Shortest Word Distance II"", ""titleSlug"": ""shortest-word-distance-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Add Two Polynomials Represented as Linked Lists"", ""titleSlug"": ""add-two-polynomials-represented-as-linked-lists"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Longest Common Subsequence Between Sorted Arrays"", ""titleSlug"": ""longest-common-subsequence-between-sorted-arrays"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Merge Two 2D Arrays by Summing Values"", ""titleSlug"": ""merge-two-2d-arrays-by-summing-values"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]","[""two_pointers_same""]"
70,Climbing Stairs,Easy,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs/,53.64,FALSE,Algorithms,23535,981,"[{""input"": ""n=4"", ""expected"": ""5""}, {""input"": ""n=1"", ""expected"": ""1""}, {""input"": ""n=45"", ""expected"": ""1836311903""}, {""input"": ""n=2"", ""expected"": ""2""}]","[{""title"": ""Min Cost Climbing Stairs"", ""titleSlug"": ""min-cost-climbing-stairs"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Fibonacci Number"", ""titleSlug"": ""fibonacci-number"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""N-th Tribonacci Number"", ""titleSlug"": ""n-th-tribonacci-number"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Minimum Rounds to Complete All Tasks"", ""titleSlug"": ""minimum-rounds-to-complete-all-tasks"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Count Number of Ways to Place Houses"", ""titleSlug"": ""count-number-of-ways-to-place-houses"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Number of Ways to Reach a Position After Exactly k Steps"", ""titleSlug"": ""number-of-ways-to-reach-a-position-after-exactly-k-steps"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Count Ways To Build Good Strings"", ""titleSlug"": ""count-ways-to-build-good-strings"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Frog Jump II"", ""titleSlug"": ""frog-jump-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find Number of Ways to Reach the K-th Stair"", ""titleSlug"": ""find-number-of-ways-to-reach-the-k-th-stair"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""The Number of Ways to Make the Sum"", ""titleSlug"": ""the-number-of-ways-to-make-the-sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]","[""dp_1d_forward""]"
206,Reverse Linked List,Easy,"Linked List, Recursion",https://leetcode.com/problems/reverse-linked-list/,79.54,FALSE,Algorithms,23396,542,"[{""input"": ""[1,2,3,4,5]"", ""expected"": ""[5,4,3,2,1]""}, {""input"": ""[]"", ""expected"": ""[]""}, {""input"": ""[1,2,3,4,5,6,7,8,9,10]"", ""expected"": ""[10,9,8,7,6,5,4,3,2,1]""}, {""input"": ""[1]"", ""expected"": ""[1]""}]","[{""title"": ""Reverse Linked List II"", ""titleSlug"": ""reverse-linked-list-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Binary Tree Upside Down"", ""titleSlug"": ""binary-tree-upside-down"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Palindrome Linked List"", ""titleSlug"": ""palindrome-linked-list"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Reverse Nodes in Even Length Groups"", ""titleSlug"": ""reverse-nodes-in-even-length-groups"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Maximum Twin Sum of a Linked List"", ""titleSlug"": ""maximum-twin-sum-of-a-linked-list"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Remove Nodes From Linked List"", ""titleSlug"": ""remove-nodes-from-linked-list"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Insert Greatest Common Divisors in Linked List"", ""titleSlug"": ""insert-greatest-common-divisors-in-linked-list"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]","[""linked_list_reversal""]"
169,Majority Element,Easy,"Array, Hash Table, Divide and Conquer, Sorting, Counting",https://leetcode.com/problems/majority-element/,65.82,FALSE,Algorithms,21491,754,"[{""input"": ""[3,2,3]"", ""expected"": ""3""}, {""input"": ""[1]"", ""expected"": ""1""}, {""input"": ""[2]*501 + [1]*499"", ""expected"": ""2""}, {""input"": ""[1,1,1,2,2,2,2]"", ""expected"": ""2""}]","[{""title"": ""Majority Element II"", ""titleSlug"": ""majority-element-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Check If a Number Is Majority Element in a Sorted Array"", ""titleSlug"": ""check-if-a-number-is-majority-element-in-a-sorted-array"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Most Frequent Even Element"", ""titleSlug"": ""most-frequent-even-element"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Minimum Index of a Valid Split"", ""titleSlug"": ""minimum-index-of-a-valid-split"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Minimum Operations to Exceed Threshold Value I"", ""titleSlug"": ""minimum-operations-to-exceed-threshold-value-i"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find the Most Common Response"", ""titleSlug"": ""find-the-most-common-response"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find Valid Pair of Adjacent Digits in String"", ""titleSlug"": ""find-valid-pair-of-adjacent-digits-in-string"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]","[""hash_map_frequency""]"
14,Longest Common Prefix,Easy,"Array, String, Trie",https://leetcode.com/problems/longest-common-prefix/,45.92,FALSE,Algorithms,19716,4783,"[{""input"": ""[\""flower\"",\""flow\"",\""flight\""]"", ""expected"": ""\""fl\""""}, {""input"": ""[\""\""]"", ""expected"": ""\""\""""},  {""input"": ""[\""interview\"",\""interview\"",\""interview\""]"", ""expected"": ""\""interview\""""}, {""input"": ""[\""dog\"",\""racecar\"",\""car\""]"", ""expected"": ""\""\""""}]","[{""title"": ""Smallest Missing Integer Greater Than Sequential Prefix Sum"", ""titleSlug"": ""smallest-missing-integer-greater-than-sequential-prefix-sum"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find the Length of the Longest Common Prefix"", ""titleSlug"": ""find-the-length-of-the-longest-common-prefix"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Longest Common Suffix Queries"", ""titleSlug"": ""longest-common-suffix-queries"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Longest Common Prefix After at Most One Removal"", ""titleSlug"": ""longest-common-prefix-after-at-most-one-removal"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]","[""two_pointers_same""]"
283,Move Zeroes,Easy,"Array, Two Pointers",https://leetcode.com/problems/move-zeroes/,62.98,FALSE,Algorithms,18278,542,"[{""input"": ""[0,1,0,3,12]"", ""expected"": ""[1,3,12,0,0]""}, {""input"": ""[0]"", ""expected"": ""[0]""}, {""input"": ""[0,1]*500"", ""expected"": ""[1]*500 + [0]*500""}, {""input"": ""[0,0,0,0,1]"", ""expected"": ""[1,0,0,0,0]""}]","[{""title"": ""Remove Element"", ""titleSlug"": ""remove-element"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Apply Operations to an Array"", ""titleSlug"": ""apply-operations-to-an-array"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]","[""two_pointers_same""]"
136,Single Number,Easy,"Array, Bit Manipulation",https://leetcode.com/problems/single-number/,76.38,FALSE,Algorithms,17904,835,"[{""input"": ""[4,1,2,1,2]"", ""expected"": ""4""}, {""input"": ""[1]"", ""expected"": ""1""}, {""input"": ""[1,2,3,4,5,1,2,3,4]"", ""expected"": ""5""}, {""input"": ""[-1,-1,-2,-2,-3]"", ""expected"": ""-3""}]","[{""title"": ""Single Number II"", ""titleSlug"": ""single-number-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Single Number III"", ""titleSlug"": ""single-number-iii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Missing Number"", ""titleSlug"": ""missing-number"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find the Duplicate Number"", ""titleSlug"": ""find-the-duplicate-number"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find the Difference"", ""titleSlug"": ""find-the-difference"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find the XOR of Numbers Which Appear Twice"", ""titleSlug"": ""find-the-xor-of-numbers-which-appear-twice"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]","[""hash_map_frequency""]"
